Stop: 640000520     130 buses per day
Stop: 640000519     220 buses per day
Stop: 640000518     183 buses per day
Stop: 640000517     289 buses per day
Stop: 640000516     323 buses per day
Stop: 640000514      76 buses per day
Stop: 640000513     234 buses per day
Stop: 640000512     350 buses per day
Stop: 640000359     646 buses per day
Stop: 6415325       646 buses per day
Stop: 6413868       646 buses per day
Stop: 640000224     758 buses per day
Stop: 640000172     566 buses per day
Stop: 640000111     249 buses per day
Stop: 640000113     147 buses per day
Stop: 640000114     147 buses per day
Stop: 640000133     278 buses per day
Stop: 6415326       366 buses per day
Stop: 640000130     366 buses per day
Stop: 640000126     366 buses per day
Stop: 6415329       366 buses per day
Stop: 640000123     366 buses per day
Stop: 410000119     199 buses per day
Stop: 410000045     290 buses per day
Stop: 410000044     290 buses per day
Stop: 410003262     290 buses per day
Stop: 4114522       290 buses per day
Stop: 4101048       126 buses per day
Stop: 4101045       126 buses per day
Stop: 410003255     126 buses per day
Stop: 4101042       126 buses per day
Stop: 301733        126 buses per day
Stop: 30003253      126 buses per day
Stop: 30003251      126 buses per day
Stop: 4114475       126 buses per day
Stop: 30003248      126 buses per day
Stop: 30003246      126 buses per day
Stop: 30003243      126 buses per day
Stop: 30003241      126 buses per day
Stop: 30003237      126 buses per day
Stop: 620003091     204 buses per day
Stop: 620003088     150 buses per day
Stop: 620003085     150 buses per day
Stop: 620003095     279 buses per day
Stop: 620003093     279 buses per day
Stop: 6201703       279 buses per day
Stop: 6201740       453 buses per day
Stop: 620003109     453 buses per day
Stop: 620003110     285 buses per day
Stop: 410003587     294 buses per day
Stop: 410003591     309 buses per day
Stop: 410003607     440 buses per day
Stop: 4114500       641 buses per day
Stop: 4114441       855 buses per day
Stop: 4114541       855 buses per day
Stop: 4114540       855 buses per day
Stop: 640003385    1163 buses per day
Stop: 640000365    1209 buses per day
Stop: 640000367    1209 buses per day
Stop: 640000369    1209 buses per day
Stop: 640000371    1209 buses per day
Stop: 640000373     780 buses per day
Stop: 640000374     780 buses per day
Stop: 640000376     780 buses per day
Stop: 640000378     780 buses per day
Stop: 640000388     622 buses per day
Stop: 640000390     622 buses per day
Stop: 640000391     397 buses per day
Stop: 640000393     397 buses per day
Stop: 640000396     397 buses per day
Stop: 6415323       264 buses per day
Stop: 6415295       204 buses per day
Stop: 2914584       136 buses per day
Stop: 640000395     390 buses per day
Stop: 640000394     390 buses per day
Stop: 640000392     390 buses per day
Stop: 6415314       622 buses per day
Stop: 640000389     622 buses per day
Stop: 640000380     917 buses per day
Stop: 640000379     766 buses per day
Stop: 640000377     766 buses per day
Stop: 640000375     766 buses per day
Stop: 640000489     239 buses per day
Stop: 640000372    1192 buses per day
Stop: 640000370    1192 buses per day
Stop: 640000368    1192 buses per day
Stop: 640000366    1192 buses per day
Stop: 6415247      1192 buses per day
Stop: 6414087      1192 buses per day
Stop: 6414089       951 buses per day
Stop: 410003383     951 buses per day
Stop: 4114550       839 buses per day
Stop: 410003610     839 buses per day
Stop: 4114481       661 buses per day
Stop: 4114492       335 buses per day
Stop: 410003592     208 buses per day
Stop: 410003588     290 buses per day
Stop: 410003586     290 buses per day
Stop: 620003125     433 buses per day
Stop: 6201704       119 buses per day
Stop: 620003195     670 buses per day
Stop: 620003096     274 buses per day
Stop: 6201712       274 buses per day
Stop: 6201601       274 buses per day
Stop: 620003094     274 buses per day
Stop: 620003086     145 buses per day
Stop: 620003087     145 buses per day
Stop: 620003092     101 buses per day
Stop: 4114473        46 buses per day
Stop: 4114442       322 buses per day
Stop: 410003407     333 buses per day
Stop: 410003415     142 buses per day
Stop: 4114444       142 buses per day
Stop: 410003413     321 buses per day
Stop: 4113951       563 buses per day
Stop: 410003409     563 buses per day
Stop: 410003408     563 buses per day
Stop: 410003404     287 buses per day
Stop: 410003406      46 buses per day
Stop: 640003365      46 buses per day
Stop: 6415336        46 buses per day
Stop: 640003384      46 buses per day
Stop: 640000387     547 buses per day
Stop: 640000385     547 buses per day
Stop: 640000534      92 buses per day
Stop: 640000384     550 buses per day
Stop: 640000386     550 buses per day
Stop: 640003367      46 buses per day
Stop: 640003366      46 buses per day
Stop: 410003405      46 buses per day
Stop: 410003403     293 buses per day
Stop: 4114544       339 buses per day
Stop: 4114545       569 buses per day
Stop: 410003410     569 buses per day
Stop: 4113950       569 buses per day
Stop: 410003414      46 buses per day
Stop: 410003417     322 buses per day
Stop: 110003348     585 buses per day
Stop: 110003349     426 buses per day
Stop: 1114304       213 buses per day
Stop: 110003352     291 buses per day
Stop: 1114076       291 buses per day
Stop: 1114080       300 buses per day
Stop: 1114034       412 buses per day
Stop: 110001185     748 buses per day
Stop: 110001183     748 buses per day
Stop: 1114248       748 buses per day
Stop: 110001181     748 buses per day
Stop: 290001179     748 buses per day
Stop: 290001177    1148 buses per day
Stop: 1114303      1148 buses per day
Stop: 2914559      1310 buses per day
Stop: 2913716       363 buses per day
Stop: 290001228     363 buses per day
Stop: 290001225     363 buses per day
Stop: 290001224     371 buses per day
Stop: 290001222     371 buses per day
Stop: 110001220     371 buses per day
Stop: 290001219     371 buses per day
Stop: 290001218     375 buses per day
Stop: 290001365     384 buses per day
Stop: 290001363     380 buses per day
Stop: 290001362     380 buses per day
Stop: 2914563       426 buses per day
